,TSM_Ret,SOX_Ret,TSM_Ret_lag2,SOX_Ret_lag2,TSM_SOX_Spread,NetOI_Diff_lag1,NetOI_Diff_lag2,Open_Gap,Gap_Direction,Intraday_Ret,Intraday_Point,Intra_Ret_lag1,TX_Ret,TX_Ret_lag1,TX_Vol5,TX_Mom5,MA5,MA20,RSI
2024-04-17,-0.0024293200789882443,0.008815231302096342,-0.016840217525839977,-0.013996123638368609,-0.011244551381084586,-583.0,-5794.0,26.0,1,0.010258032387092305,206,-0.01615704655999426,0.01156024633451043,-0.027435545951060403,0.011316023756983231,-0.045124857427466185,20430.8,20338.55,49.95667244367417
2024-04-18,-0.005523133493777385,-0.03299661293134267,-0.0024293200789882443,0.008815231302096342,0.027473479437565285,434.0,-583.0,-115.0,0,0.01424779222190123,288,0.010258032387092305,0.008534200725243891,0.01156024633451043,0.014501083726055866,-0.03246215442047945,20351.8,20363.1,52.01495637723307
2024-04-19,-0.04984412557607067,-0.01669095610604007,-0.005523133493777385,-0.03299661293134267,-0.03315316947003061,3252.0,434.0,-518.0,0,-0.014929439940082681,-294,0.01424779222190123,-0.04070329311350409,0.008534200725243891,0.016036401143603208,-0.01921685950937518,20110.0,20353.05,39.6077190762417
2024-04-22,-0.03516178856387102,-0.04202201747565561,-0.04984412557607067,-0.01669095610604007,0.006860228911784588,-5077.0,3252.0,74.0,1,-0.004904976112315931,-96,-0.014929439940082681,-0.0011261838917430028,-0.04070329311350409,0.022576948661337557,-0.06001651958835805,19913.2,20316.05,37.83000643915003
2024-04-23,0.015925731071843835,0.01727551727025652,-0.03516178856387102,-0.04202201747565561,-0.0013497861984126842,3377.0,-5077.0,127.0,1,0.0013222133740779592,26,-0.004904976112315931,0.007805962954807087,-0.0011261838917430028,0.02309576970252439,-0.04917057589655317,19858.0,20287.8,40.60289141802523
2024-04-24,0.027967685126247966,0.0218681431218824,0.015925731071843835,0.01727551727025652,0.006099542004365566,3895.0,3377.0,253.0,1,0.011970217741417035,240,0.0013222133740779592,0.024745910986412253,0.007805962954807087,0.021717662823038678,-0.013929066990685683,19855.0,20284.75,44.970076944998574
2024-04-25,-0.003453585748159131,0.010527668720365023,0.027967685126247966,0.0218681431218824,-0.013981254468524154,-828.0,3895.0,-230.0,0,-0.0027620858740383418,-55,0.011970217741417035,-0.014230673306466471,0.024745910986412253,0.024515513360178702,-0.0007434023387838593,19760.4,20269.65,43.591160220994475
2024-04-26,0.026787174810978413,0.019437765254328672,-0.003453585748159131,0.010527668720365023,0.007349409556649741,-3827.0,-828.0,241.0,1,0.0025803904750460655,52,-0.0027620858740383418,0.014627223326533647,-0.014230673306466471,0.02461353174482575,-0.02350827637049422,19886.8,20265.5,46.43231899265477
2024-04-29,0.012514522699850303,0.025722435281560277,0.026787174810978413,0.019437765254328672,-0.013207912581709974,3272.0,-3827.0,172.0,1,0.009877347918978497,202,0.0025803904750460655,0.01836535782139483,0.014627223326533647,0.014903843386423988,0.03182224006954351,20092.4,20282.95,45.720361509835186
2024-04-30,0.001444949163515656,0.006420344743699629,0.012514522699850303,0.025722435281560277,-0.004975395580183973,-1153.0,3272.0,-34.0,0,-0.005130596874073957,-105,0.009877347918978497,-0.006786307016135435,0.01836535782139483,0.015003553087007983,0.051313781782681346,20239.6,20289.6,44.3527591542032
2024-05-02,-0.01762929912595561,-0.03608277071378351,-0.00841076163250093,-0.019597905343630654,0.0184534715878279,1306.0,-1153.0,-163.0,0,0.0020226444329390202,41,-0.005130596874073957,-0.005994514805959824,-0.006786307016135435,0.016900253551532067,0.03672151181173883,20263.8,20289.75,44.07995899538699
2024-05-03,0.009514398629815696,0.021436044628926534,-0.01762929912595561,-0.03608277071378351,-0.011921645999110837,-3806.0,1306.0,257.0,1,-0.008111454198519556,-166,0.0020226444329390202,0.0044747204210146465,-0.005994514805959824,0.01439259866727899,0.005981086019366746,20363.2,20282.7,45.32698571786519
2024-05-06,0.0383791342681617,0.02378256545244486,0.009514398629815696,0.021436044628926534,0.014596568815716842,-1916.0,-3806.0,303.0,1,-0.0040206414518731744,-83,-0.008111454198519556,0.010736000054999728,0.0044747204210146465,0.011525719795485863,0.024686479746847866,20448.0,20295.35,51.18567103935418
2024-05-07,0.008931435890675061,0.021866067398381227,0.0383791342681617,0.02378256545244486,-0.012934631507706166,699.0,-1916.0,131.0,1,-0.00401131437032519,-83,-0.0040206414518731744,0.0023271609455401436,0.010736000054999728,0.01081747221207861,0.020795256475313946,20467.6,20305.35,60.080995082441426
2024-05-08,-0.012115419749514396,-0.0074064034886410736,0.008931435890675061,0.021866067398381227,-0.004709016260873322,-467.0,699.0,-32.0,0,0.005176220347165779,107,-0.00401131437032519,0.0036253816143168366,0.0023271609455401436,0.007385166646109052,0.004757059599459258,20530.0,20297.9,58.18181818181818
2024-05-09,0.01749211284648869,0.0011487940253317715,-0.012115419749514396,-0.0074064034886410736,0.016343318821156916,3622.0,-467.0,-18.0,0,-0.0045983768919099005,-95,0.005176220347165779,-0.005467270555380831,0.0036253816143168366,0.005994996103615428,0.01516874822991153,20594.2,20285.95,53.91975308641976
2024-05-10,-0.005656824622421205,-0.00641036390308257,0.01749211284648869,0.0011487940253317715,0.0007535392806613649,-1613.0,3622.0,126.0,1,0.0034178192945560127,71,-0.0045983768919099005,0.009512154964664789,-0.005467270555380831,0.005797889729877699,0.015695992480490525,20679.6,20288.75,74.05714285714285
2024-05-13,0.044314748907681355,0.010088040278160062,-0.005656824622421205,-0.00641036390308257,0.03422670862952129,2347.0,-1613.0,133.0,1,-0.002821281010631188,-59,0.0034178192945560127,0.0035498454239965374,0.009512154964664789,0.006484942313954811,0.020733427024140664,20735.8,20295.15,75.38289129622711
2024-05-14,-0.01927862132161827,0.003127376971438656,0.044314748907681355,0.010088040278160062,-0.022405998293056926,352.0,2347.0,9.0,1,0.005774983237481515,121,-0.002821281010631188,0.006205862956894648,0.0035498454239965374,0.005357865572896116,0.013547272393137475,20808.4,20320.4,75.16955538809344
2024-05-15,0.037140437388563666,0.016622191213837255,-0.01927862132161827,0.003127376971438656,0.02051824617472641,4473.0,352.0,171.0,1,-0.0019372983118660235,-41,0.005774983237481515,0.006167587631198092,0.006205862956894648,0.005565445894799953,0.01742597440449198,20892.0,20379.9,71.2352684417285
2024-05-16,0.023608532738422495,0.028376566134651105,0.037140437388563666,0.016622191213837255,-0.00476803339622861,6563.0,4473.0,322.0,1,-0.004435632345467686,-95,-0.0019372983118660235,0.010679187888324431,0.006167587631198092,0.005696046178972809,0.019968180421373233,21043.6,20439.15,83.2512315270936
2024-05-17,-0.0217675690842443,-0.0054737449102436825,0.023608532738422495,0.028376566134651105,-0.016293824174000618,-5007.0,6563.0,-67.0,0,0.0015478790116468164,33,-0.004435632345467686,-0.0015922824513431454,0.010679187888324431,0.002864698619290473,0.0361146388650785,21149.0,20488.05,79.33130699088146
2024-05-20,-0.0036194347032500497,-0.006903644682255396,-0.0217675690842443,-0.0054737449102436825,0.003284209979005346,-1160.0,-5007.0,99.0,1,-0.006224135028966456,-133,0.0015478790116468164,-0.0015948218587391479,-0.0015922824513431454,0.004489756586300272,0.025010201449070565,21232.8,20575.85,72.94981640146878
2024-05-21,0.012253122274140734,0.021310472804805566,-0.0036194347032500497,-0.006903644682255396,-0.009057350530664832,394.0,-1160.0,22.0,1,-0.0022065218689338896,-47,-0.006224135028966456,-0.0011742879293932416,-0.0015948218587391479,0.0054024961084114705,0.019865534166334877,21285.6,20663.5,78.42105263157895
2024-05-22,0.000781308195554194,-0.0031383375693129567,0.012253122274140734,0.021310472804805566,0.003919645764867151,1019.0,394.0,16.0,1,0.01352758757257188,290,-0.0022065218689338896,0.014279290685252572,-0.0011742879293932416,0.005642805249160078,0.012485383280046987,21373.6,20758.8,87.91079812206573
2024-05-23,0.016009545926297993,0.010275372742302332,0.000781308195554194,-0.0031383375693129567,0.005734173183995661,2572.0,1019.0,47.0,1,-0.0012027572343226796,-26,0.01352758757257188,0.000972514953811232,0.014279290685252572,0.0077387495056416705,0.020597086334101466,21420.4,20830.5,87.39290085679315
2024-05-24,0.006001843337120186,-0.00016192238866707305,0.016009545926297993,0.010275372742302332,0.006163765725787259,-3062.0,2572.0,-156.0,0,0.005440229166148189,117,-0.0012027572343226796,-0.0018068526308382632,0.000972514953811232,0.006848019409172765,0.010890413399588269,21466.2,20914.5,83.13833448038541
2024-05-27,0.01835496732093511,0.01835189416577559,0.006001843337120186,-0.00016192238866707305,3.073155159519919e-06,323.0,-3062.0,105.0,1,0.009415616695410496,205,0.005440229166148189,0.014272802143871674,-0.0018068526308382632,0.0068781597729538815,0.010675843220093151,21580.8,20999.35,85.71428571428571
2024-05-31,-0.00898133705240534,-0.008864086107045928,-0.03232160426818458,-0.018705777747687034,-0.00011725094535941158,1053.0,-5305.0,114.0,1,-0.01028286695558392,-220,-0.005640646146895375,-0.00496767353955249,-0.015355299038176114,0.011715252079734102,-0.0099082099109765,21645.4,21235.05,60.029940119760475
2024-06-03,-0.012631962998122505,-0.009692558295494326,-0.00898133705240534,-0.008864086107045928,-0.0029394047026281792,353.0,1053.0,184.0,1,0.00858016070127871,185,-0.01028286695558392,0.01718759560859086,-0.00496767353955249,0.011788513482916846,-0.013069030819690727,21601.2,21287.65,64.28889879625501
2024-06-04,0.02555781662640628,0.0056734819703101015,-0.012631962998122505,-0.009692558295494326,0.01988433465609618,-2640.0,353.0,-94.0,0,-0.011194146743152587,-240,0.00858016070127871,-0.015544595591062757,0.01718759560859086,0.012856078021455244,-0.010154237354971538,21474.4,21321.15,53.616673477727836
2024-06-05,-0.016134535888534102,-0.007058267351054397,0.02555781662640628,0.0056734819703101015,-0.009076268537479705,-2390.0,-2640.0,30.0,1,0.005278782724894055,113,-0.011194146743152587,0.006684923101883798,-0.015544595591062757,0.01358890756247531,-0.029303755967480957,21422.6,21358.05,51.96783749471012
2024-06-06,0.06629138321158669,0.04419226901034387,-0.016134535888534102,-0.007058267351054397,0.022099114201242817,2643.0,-2390.0,362.0,1,0.002288330518012216,50,0.005278782724894055,0.019013909844150464,0.006684923101883798,0.014260284345150075,-0.011995049458316701,21519.4,21421.2,59.83217803721269
2024-06-07,-0.0052309489026599295,-0.008594146139767552,0.06629138321158669,0.04419226901034387,0.0033631972371076227,5918.0,2643.0,-36.0,0,0.0026522788549697687,58,0.002288330518012216,0.001005208893926808,0.019013909844150464,0.014729409677097464,0.022374159424009877,21641.8,21475.6,60.90142909490656
2024-06-11,0.02267445003043325,0.014115202935342188,0.014213185495148833,-0.0027273697030364753,0.00855924709509106,-78.0,5918.0,23.0,1,-0.005581239612694896,-122,0.0026522788549697687,-0.004531418670485093,0.001005208893926808,0.013996109708059081,0.028347041857489173,21670.6,21521.35,59.29361398501605
